HD,HIP,Vmag,Fl,Cst,BayerConst
219877,115142,5.56,96,Aqr,Aqr
219916,115088,4.75,34,Cep,omi Cep
219945,115152,5.44,11,And,And
219981,115191,5.81,10,And,And
220009,115227,5.05,7,Psc,b Psc
220061,115250,4.58,62,Peg,tau Peg
220088,115271,5.58,63,Peg,Peg
220117,115280,5.77,12,And,And
220222,115355,5.35,64,Peg,Peg
220278,115404,5.19,97,Aqr,Aqr
220318,115407,6.28,65,Peg,Peg
220321,115438,3.96,98,Aqr,b01 Aqr
220363,115444,5.09,66,Peg,Peg
220599,115591,5.56,67,Peg,Peg
220652,115590,4.96,4,Cas,Cas
220657,115623,4.42,68,Peg,ups Peg
220704,115669,4.38,99,Aqr,b02 Aqr
220729,115713,5.53,,Gru,omi Gru
220825,115738,4.95,8,Psc,kap Psc
220858,115768,6.26,9,Psc,Psc
220885,115755,5.75,13,And,And
220933,115806,5.99,69,Peg,Peg
220954,115830,4.27,10,Psc,the Psc
221115,115919,4.54,70,Peg,Peg
221253,115990,4.89,,Cas,AR Cas
221345,116076,5.22,14,And,And
221357,116118,6.24,100,Aqr,Aqr
221409,116146,6.39,13,Psc,Psc
221507,116231,4.38,,Scl,bet Scl
221565,116247,4.70,101,Aqr,b03 Aqr
221615,116264,5.33,71,Peg,Peg
221673,116310,4.97,72,Peg,Peg
221675,116323,5.91,14,Psc,Psc
221756,116354,5.55,15,And,And
221758,116355,5.63,73,Peg,Peg
221760,116389,4.69,,Phe,iot Phe
221833,116422,6.47,15,Psc,Psc
221950,116495,5.68,16,Psc,Psc
222098,116592,6.26,74,Peg,Peg
222107,116584,3.81,16,And,lam And
222133,116611,5.49,75,Peg,Peg
222173,116631,4.29,17,And,iot And
222287,116737,6.07,,Phe,the Phe
222304,116709,5.35,18,And,And
222345,116758,4.97,102,Aqr,ome01 Aqr
222368,116771,4.13,17,Psc,iot Psc
222404,116727,3.21,35,Cep,gam Cep
222433,116820,5.30,,Scl,mu. Scl
222439,116805,4.15,19,And,kap And
222547,116889,5.36,103,Aqr,A01 Aqr
222561,116904,8.58,104,Aqr,A02 Aqr
222574,116901,4.82,104,Aqr,A02 Aqr
222603,116928,4.49,18,Psc,lam Psc
222661,116971,4.49,105,Aqr,ome02 Aqr
222683,116972,6.30,76,Peg,Peg
222764,117020,5.09,77,Peg,Peg
222800,117054,6.36,,Aqr,R Aqr
222842,117073,4.93,78,Peg,Peg
222847,117089,5.24,106,Aqr,i01 Aqr
223024,117218,5.28,107,Aqr,i02 Aqr
223047,117221,4.97,20,And,psi And
223075,117245,4.95,19,Psc,TX Psc
223145,117315,5.18,,Phe,sig Phe
223165,117301,4.88,5,Cas,tau Cas
223252,117375,5.49,20,Psc,Psc
223352,117452,4.59,,Scl,del Scl
223385,117447,5.43,6,Cas,Cas
223438,117491,5.77,21,Psc,Psc
223461,117500,5.95,79,Peg,Peg
223637,117628,5.77,80,Peg,Peg
223640,117629,5.17,108,Aqr,i03 Aqr
223647,117689,5.10,,Oct,gam01 Oct
223719,117683,5.59,22,Psc,Psc
223768,117718,5.06,81,Peg,phi Peg
223781,117730,5.30,82,Peg,Peg
223807,117756,5.76,,Aqr,h Aqr
223825,117761,5.93,24,Psc,Psc
223855,117774,6.29,25,Psc,Psc
224014,117863,4.51,7,Cas,rho Cas
224103,117927,6.22,26,Psc,Psc
224151,117957,6.03,,Cas,V373 Cas
224309,118027,6.57,,Cep,V Cep
224362,118114,5.72,,Oct,gam02 Oct
224392,118121,5.00,,Tuc,eta Tuc
224427,118131,4.63,84,Peg,psi Peg
224481,118178,6.28,1,Cet,Cet
224490,118188,4.80,,Cas,R Cas
224533,118209,4.88,27,Psc,Psc
224554,118234,5.13,,Phe,pi. Phe
224572,118243,4.88,8,Cas,sig Cas
224617,118268,4.03,28,Psc,ome Psc
224686,118322,4.49,,Tuc,eps Tuc
224801,63,6.36,,And,CG And
224834,88,5.71,,Phe,tau Phe
224889,122,4.78,,Oct,the Oct
224926,145,5.13,29,Psc,Psc
224930,171,5.80,85,Peg,Peg
224935,154,4.37,30,Psc,Psc
224990,183,5.04,,Scl,zet Scl
224995,186,6.33,31,Psc,Psc
225003,194,5.70,32,Psc,c Psc
225132,301,4.55,2,Cet,Cet
225180,330,5.90,9,Cas,Cas
225212,355,4.99,3,Cet,Cet
257498,30756,9.21,15,Gem,Gem
257937,0,8.00,18,Gem,nu. Gem
